minPay(USD per hour),maxPay(USD per hour),clientIdentityVerification,clientPaymentVerification,deposit,emailVerification,profileCompletion,phoneVerification,fraud
15,25,0,1,0,1,0,0,1
25,50,0,1,0,1,0,0,1
8,14.98,0,0,0,1,1,1,1
262,788,0,1,0,1,0,0,1
262,788,0,1,1,0,0,0,1
262,788,0,1,0,1,0,0,1
250,750,0,1,0,1,0,0,1
7.19,17.98,0,0,0,1,0,1,1
250,750,0,1,0,1,0,1,1
250,750,0,0,0,1,0,1,1
262,788,0,0,0,1,0,1,1
6.31,12.62,0,0,0,1,0,1,1
10.51,15.77,0,1,0,1,0,1,1
750,1500,0,1,0,1,1,0,1
30,250,0,0,0,1,0,1,1
7.19,17.98,0,0,0,1,1,0,1
10,30,0,0,0,1,0,1,1
12.61,18.91,0,0,0,1,0,1,1
900.42,1800.85,0,0,0,1,1,1,1
50,50,0,0,0,1,0,1,1
15,25,0,1,0,1,1,0,1
7.209,18.021,0,0,0,1,0,1,1
9.01,15.01,0,0,0,1,1,1,1
150,450,0,0,0,1,0,1,1
4.8,9.01,0,0,0,1,1,1,1
15,25,0,1,1,1,0,0,1
10.51,15.77,0,1,0,1,1,1,1
9,15,0,0,0,1,1,1,1
7.2,18.01,0,0,0,1,0,1,1
1500,3000,0,0,0,1,1,0,1
